5988465, 171507458, 7.0565264/3.5284586, 0.0000175, 54960.118623, 0.378107, , sem variacao, ok
6026204, 120578214, 2.2798149/2.2798374, 0.0000035, 54953.943599, 0.128630, , sem variacao, ok
6072195, 171972067, 2.8001229/2.8001715, 0.0000046, 55000.994686, 0.151838, , sem variacao, ok
6105491, 120420369, 13.2996383/13.3227049, 0.0000447, 56903.857649/2071.857649, -1, , sem variacao, ok
6187893, 120576722, 0.7891676/0.7891814, 0.0000008, 54954.087252/121.077252, 0.021655, , ciclica, ok
6205460, 137408317, 3.7228320/3.7230016, 0.0000070, 54956.455222, 0.098339, , ciclica, ok
6353203, 121463130, 0.5085044/0.5085065, 0.0000004, 54954.104166, 0.018082, , ciclica, ok
6370558, 138429650, 60.3165845/60.3404112, 0.0003682, 55015.363887, -1, , sem variacao, ok
6443392, 137408962, 0.7769761/0.7769755, 0.0000007, 54953.619364, 0.013063, , sem variacao, ok
6447430, 138098461, 1.1600020/1.1600004, 0.0000013, 54954.148049, 0.066584, , sem variacao, ok
6462057, 169175441, 0.4787160/0.4787174, 0.0000004, 54954.018541, 0.026660, , ciclica, ok
6669809, 164646288, 0.7337378/0.7337371, 0.0000007, 54953.998571, 0.029897, , sem variacao, ok
6670812, 164674435, 1.7418136/1.7418140, 0.0000024, 55001.461730, 0.091269, , sem variacao, ok
6695510, 240185634, 2.1729669/2.1729709, 0.0000032, 55001.716302, 0.120371, , sem variacao, ok
6699679, 270864138, 0.2012033/0.2012035, 0.0000001, 54953.612834, 0.011484, , sem variacao, ok
6803335, 273778807, 1.1108525/1.1108506, 0.0000012, 54954.334913/121.341913, 0.060936, , sem variacao, ok
6863229, 63006634, 1.9949205/1.9949190, 0.0000028, 54954.485937, 0.052384, , sem variacao, ok
7023917, 158794976, 0.7728420/0.7728425, 0.0000007, 54953.888778, 0.030232, , sem variacao, ok
7097571, 164674992, 2.2139641/2.2139676, 0.0000034, 54954.495717, 0.041998, , sem variacao, ok
7259917, 164463075, 0.3846789/0.3846774, 0.0000003, 54953.806646/120.812046, 0.020321, , ciclica, ok
7284688, 63368767, 0.6460432/0.6460444, 0.0000005, 54953.678043, 0.018998, , sem variacao, ok
7335517, 123199358, 0.2745039/0.2745036, 0.0000002, 55001.920777, 0.012738, , sem variacao, ok
7335713, 123201494, 0.5737111/0.5737039, 0.0000005, 55002.227811/169.247811, -1, , sem variacao, ok
7350038, 158552265, 13.8299417/13.8335462, 0.0000460, 55004.470351, -1, fluxo constante, sem variacao, ok
7373255, 271347126, 13.6611061/13.6594791, 0.0000453, 54997.976421, -1, fluxo constante, sem variacao, ok
7375612, 271671189, 0.1600729/0.1600719, 0.0000001, 54953.638704/120.646704, 0.008521, , ciclica, ok
7382250, 272944291, 1.4187322/1.4187386, 0.0000017, 54954.984264/121.966264, 0.019739, , sem variacao, ok
7385478, 273501820, 1.6554777/1.6554745, 0.0000022, 54954.534784, 0.029470, , ciclica, ok
7387296, 273782052, 2.5795445 usar esse período/2.5795420, 0.0000041, 54955.333002, 0.144454, , sem variacao, ok
7431703, 158431889, 0.5725258/0.5725254, 0.0000005, 54953.887641, 0.025772, , ciclica, ok
7440742, 159444225, 0.2839922/0.2839944, 0.0000002, 54949.928411, 0.013575, , ciclica, ok
7457163, 271539287, 0.7746042/0.7745974, 0.0000007, 54954.116481/121.126481, 0.046914, , ciclica, ok
7512381, 158218818, 0.4239248/0.4239221, 0.0000003, 54953.969873/120.977873, 0.022256, , ciclica, ok
7542091, 271958272, 0.3904993/0.3904995, 0.0000003, 54953.873119, 0.023771, , sem variacao, ok
7591456, 352010858, 5.8357507/5.8360267, 0.0000134, 55004.547470, -1, não há indícios desse objeto ser um sistema binário, sem variacao, ok
7630690, 273574141, 0.8865633/0.8865920, 0.0000009, 54954.581174, 0.064981, , sem variacao, ok
7672068, 158630307, 16.8361771/16.8372857, 0.0000608, 55005.325304, -1, fluxo constante, sem variacao, ok
